Translated Question,Translated Desired Answer,Translated Student Answer,Average Score
Dwuma bɛn na nhyehyɛe a wɔde yɛ nhwɛso di wɔ ɔhaw ahorow ano aduru mu?,Sɛnea ɛbɛyɛ a wɔbɛyɛ sɛnea softwea ade a wɔpɛ no afã horow yɛ wɔn ade ho mfonini.,Ɛyɛ sɛnea softwea ade a wɔpɛ no afã horow yɛ wɔn ade ho mfonini.,5.0
Dwuma bɛn na nhyehyɛe a wɔde yɛ nhwɛso di wɔ ɔhaw ahorow ano aduru mu?,Sɛnea ɛbɛyɛ a wɔbɛyɛ sɛnea softwea ade a wɔpɛ no afã horow yɛ wɔn ade ho mfonini.,Wɔde prototype program di dwuma wɔ ɔhaw ano aduru mu de boaboa data ano ma ɔhaw no.,1.5
Dwuma bɛn na nhyehyɛe a wɔde yɛ nhwɛso di wɔ ɔhaw ahorow ano aduru mu?,Sɛnea ɛbɛyɛ a wɔbɛyɛ sɛnea softwea ade a wɔpɛ no afã horow yɛ wɔn ade ho mfonini.,Sɛnea ɛbɛyɛ a ɔhaw a wɔresusuw ho no ntease bɛyɛ mmerɛw na ama dwumadi no ankasa ntease ayɛ mmerɛw,2.5
Dwuma bɛn na nhyehyɛe a wɔde yɛ nhwɛso di wɔ ɔhaw ahorow ano aduru mu?,Sɛnea ɛbɛyɛ a wɔbɛyɛ sɛnea softwea ade a wɔpɛ no afã horow yɛ wɔn ade ho mfonini.,ɛyɛ sɛnea softwea afiri a wɔpɛ no afã horow yɛ wɔn ade ho mfonini,5.0
Dwuma bɛn na nhyehyɛe a wɔde yɛ nhwɛso di wɔ ɔhaw ahorow ano aduru mu?,Sɛnea ɛbɛyɛ a wɔbɛyɛ sɛnea softwea ade a wɔpɛ no afã horow yɛ wɔn ade ho mfonini.,Dwuma a prototype program di ne sɛ ɛbɛboa ma wɔahu ɔhaw atitiriw a ebetumi asɔre bere a wɔreyɛ nhyehyɛe ankasa no.,2.0
Dwuma bɛn na nhyehyɛe a wɔde yɛ nhwɛso di wɔ ɔhaw ahorow ano aduru mu?,Sɛnea ɛbɛyɛ a wɔbɛyɛ sɛnea softwea ade a wɔpɛ no afã horow yɛ wɔn ade ho mfonini.,"prototype nhyehyɛe no ma wonya adwene a ɛkɔ akyiri wɔ nea ade a wɔde bɛba awiei no bɛyɛ ho, a bere ne mmɔdenbɔ nni mu a wɔde bɛkyerɛw dwumadi no nyinaa.",3.0
Dwuma bɛn na nhyehyɛe a wɔde yɛ nhwɛso di wɔ ɔhaw ahorow ano aduru mu?,Sɛnea ɛbɛyɛ a wɔbɛyɛ sɛnea softwea ade a wɔpɛ no afã horow yɛ wɔn ade ho mfonini.,de akyerɛ sɛ dwumadi no fã pɔtee bi yɛ adwuma sɛnea ɛsɛ sɛ ɛyɛ no,3.0
Dwuma bɛn na nhyehyɛe a wɔde yɛ nhwɛso di wɔ ɔhaw ahorow ano aduru mu?,Sɛnea ɛbɛyɛ a wɔbɛyɛ sɛnea softwea ade a wɔpɛ no afã horow yɛ wɔn ade ho mfonini.,"Prototype programming yɛ ɔkwan a wɔfa so yɛ nhyehyɛe a ɛma obi tumi fa ɔkwan a wɔahyehyɛ so de yɛ nhyehyɛe a etu mpɔn a mfomso kakraa bi na ɛwɔ mu ne ɔkwan a wɔfa so yɛ adwuma bere a ɔredi ɔhaw bi ho dwuma no. ie nwoma no de nhwɛsoɔ bi maeɛ a ɛkyerɛ sɛ adetɔfoɔ bi yi sika firi sikakorabea, ɔkwan a na ɛrefa pseudo code level wɔ OOA/Design lvl mu ansa na ɛrekɔ so ayɛ ano aduru.",2.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Refining na ebia design no sɛ sɔhwɛ fã no da ɔhaw ahorow adi wɔ design no mu a. Sɛ nhyehyɛe no ntumi nyɛ adwuma wɔ ne mprempren tebea mu a ɛbɛma wɔanya bere a wɔde yɛ adwuma akyiri yi sen sɛnea wɔbuu akontaa mfiase no a, ebetumi aka nneɛma a wɔyɛ no. Afei nso ɛka coding efisɛ sɛ wosɔ hwɛ wie a ebia ɛho behia sɛ wosan kyerɛw code no ma program no de yi mfomso ahorow fi hɔ.",3.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,Wɔde dwumadie fã ne nsiesie fã no di dwuma,4.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Verification, coding, refining ano aduru ne nsiesie nyinaa nya nkɛntɛnso fi sɔhwɛ fã no so.",4.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Wɔ RUP mu no, akwan a ɛwɔ softwea asetena mu no nya nkɛntɛnsoɔ wɔ sɔhwɛ fã no so ne: Elaboration phase- refined progject vision, iterative devilopment of core system, nkɔsoɔ a ɛfa system requirements ho, berɛ ne ɛka ho akontabuo a ɛyɛ pɛpɛɛpɛ. Adansi phase- iterative nkɔso a aka nhyehyɛe. Nsakrae phase-sɔhwɛ ne nhyehyɛe no a wɔde di dwuma.",3.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Refining ano aduru, Production ne Maintenance nyinaa nya nkɛntɛnso fi Testing stage.",3.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Nsɔhwɛ nya Elaboration, Construction, ne Transition nyinaa so nkɛntɛnso",2.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Nsiesiei, Nneɛma a Wɔyɛ, Nsiesie",3.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,Ano aduru no a wɔbɛtew so,4.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,#DIN?,2.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,Nsiesiei ne Coding,5.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Elaboration fã, Construction fã, ne Transition fã no fã a ɛto so abien.",2.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Anamɔn a wɔde yɛ nneɛma a ɛho tew, anammɔn a wɔfa so yɛ nneɛma, ne ɔkwan a wɔfa so siesie.",3.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Nkyerɛkyerɛmu a ɛkɔ akyiri, Ɔdansi, Nsakrae",2.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,Nneɛma a wɔtew so.,3.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Sɔhwɛ fã no nya nkɛntɛnso tẽẽ wɔ dwumadi bi a etwa to no so, sɛ ɛte sɛ nea ɛyɛ debugging ne finalization a ɛfa software revision ho.",1.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Tẽẽ: Refining, coding. Efisɛ Refining yɛ ansa na Testing Phase no aba pɛɛ na Coding nso wɔ Testing Phase no akyi pɛɛ. Wɔ ɔkwan a ɛnteɛ so: Nneɛma a wɔyɛ, Nsiesie. Efisɛ Refining ba ansa na saa akwan abien a etwa to yi aba wɔ Software Life Cycle no mu.",5.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Sɔhwɛ, ahotew, ne yɛ, ne ne siesie.",3.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Ɛgyina sɛnea wɔyɛ adwuma no so no, wɔtrɛw Sɔhwɛ mu wɔ adeyɛ no nyinaa mu sɛnea ɛbɛyɛ a mfomso bɛda adi akyiri yi esiane nhumu a wonni nti.",1.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Nkyerɛkyerɛmu a ɛkɔ akyiri, adansi, ne nsakrae.",2.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Wɔnya afã horow no nyinaa so nkɛntɛnso gye sɛ wɔde nhyehyɛe no ahwehwɛde ahorow no si hɔ. Sɛ sɔhwɛ bi di nkogu a, ebetumi asesa nhyehyɛe bi nhyehyɛe, ne di, ne nea ɛkeka ho nyinaa ne nea ebefi mu aba awiei koraa.",1.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Nsiesiei, ne yɛ, ne ne siesie",3.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,coding ne refining a wɔde yɛ adwuma,5.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"refining, production, nsiesie.",3.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Mfomso a ntease wom a woyi fi hɔ, sɔhwɛ a ɛfa data a ɛfata, data a wɔanhyɛ da ne data ankasa ho.",1.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,1- specification 2- design 3- asiane nhwehwɛmu 4- nokwaredi 5- coding 6- sɔhwɛ 7- refining 8- production 9- maintenance,2.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Refining stage, Production stage, ne Maintenance fã.",3.5
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,Sɔhwɛ betumi aka asetra mu kyinhyia no afã horow nyinaa; ebetumi ama woasan akɔ specification so sɛ ansɔ anhwɛ yiye a.,2.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,coding a wɔde kyerɛw nsɛm,3.0
Nneɛma bɛn na ɛwɔ softwea asetra mu a sɔhwɛ fã no nya so nkɛntɛnso?,Sɔhwɛ fã no betumi anya coding stage (fase 5) ne solution refinement stage (fase 7) nyinaa so nkɛntɛnso .,"Wɔsɔ Ankorankoro nneɛma ne anammɔn te sɛ nhwehwɛmu, nhyehyeɛ, ne mmara a wɔde di dwuma ne nhyehyɛeɛ no nyinaa hwɛ hwɛ sɛ wɔbɛdi ahwehwɛdeɛ a wɔakyerɛ wɔ nhwehwɛmu fã no mu. kyerɛ sɛ Main output",1.5
Mfaso atitiriw bɛn na ɛwɔ nhyehyɛe a wɔde di dwuma wɔ nneɛma so ho?,Abstraction ne nea wotumi de di dwuma bio.,"Modularability, tumi a wɔde san de dwumadi no afã horow di dwuma akyiri yi wɔ nhyehyɛe foforo mu ɛtɔ mmere bi a ɛwɔ botae soronko koraa ma dwumadi no. Afei nso ɛma ɛyɛ mmerɛw sɛ wobɛ debug code denam code no a wobɛkyekyɛ mu ayɛ no classes a emu biara yɛ adwuma pɔtee bi na sɛ program no di nkogu wɔ adwuma baako mu a wowɔ class baako pɛ a wobɛ debug. Eye ma ahobanbɔ atirimpɔw efisɛ ɛma wo kwan ma obi de program bi a ɛhyehyɛ lists di dwuma a enhia sɛ woma wɔn kwan kɔ source code no so. ALso ma wo kwan ma wode agyapade ne polymorphism di dwuma.",4.5
Mfaso atitiriw bɛn na ɛwɔ nhyehyɛe a wɔde yɛ nneɛma a wɔde di dwuma so?,Abstraction ne nea wotumi de di dwuma bio.,"Saa nhyehyɛe yi yɛ nea ɛyɛ mmerɛw kɛse, na ɛma ɛyɛ mmerɛw sɛ wode dwumadi no bɛka ho na woasesa. Ɛsan nso yɛ fail safe program bi, wohwɛ ankorankoro module biara. Eyi yi redundant code fi hɔ na ɛma ɛyɛ mmerɛw sɛ wɔbɛkenkan program no ama programmers afoforo. Sɛ woreyɛ debugging program no a ɛyɛ mmerɛw sɛ wobɛhwehwɛ ɔhaw bi fibea wɔ module bi mu sen sɛ wobɛhwehwɛ 2 million line program.",5.0
Mfaso atitiriw bɛn na ɛwɔ nhyehyɛe a wɔde yɛ nneɛma a wɔde di dwuma so?,Abstraction ne nea wotumi de di dwuma bio.,Mfaso titiriw a ɛwɔ nhyehyɛe a wɔde gyina nneɛma so so ne sɛ wobetumi asan de adesuakuw a ɛwɔ hɔ dedaw no adi dwuma na nhyehyɛe no sohwɛ ne nea wɔagye atom no yɛ mmerɛw.,3.5
Mfaso atitiriw bɛn na ɛwɔ nhyehyɛe a wɔde di dwuma wɔ nneɛma so ho?,Abstraction ne nea wotumi de di dwuma bio.,Mfaso a ɛwɔ so ne sɛ OOP ma yetumi yɛ nneɛma akuw ahorow. Nnyinasosɛm mmiɛnsa a ɛka bom yɛ OOP ne: Encapsulation- Nneɛma ka data ne dwumadie bom. Agyapadeɛ- Classes tumi nya agyapadeɛ fi classes foforɔ mu. Polymorphism- Nneɛma betumi akyerɛ dwumadie a ɛfata wɔ execution berɛ mu.,2.5
Mfaso atitiriw bɛn na ɛwɔ nhyehyɛe a wɔde di dwuma wɔ nneɛma so ho?,Abstraction ne nea wotumi de di dwuma bio.,Mfaso bi ne sɛ wobetumi asan de adesuakuw a ɛwɔ hɔ dedaw no adi dwuma na ɛnyɛ den sɛ wɔbɛyɛ nhyehyɛe no sohwɛ ne ne nokwaredi.,3.5
Mfaso atitiriw bɛn na ɛwɔ nhyehyɛe a wɔde di dwuma wɔ nneɛma so ho?,Abstraction ne nea wotumi de di dwuma bio.,Object oriented programming ma programmers kwan ma wɔde ade bi a ɛwɔ classes a wobetumi asesa na wɔayɛ ho adwuma bere a ɛnka ade no nyinaa prɛko pɛ di dwuma. Adesuakuw ahorow no nyinaa kura attrubutes a ɛka ade no.,1.0
Mfaso atitiriw bɛn na ɛwɔ nhyehyɛe a wɔde di dwuma wɔ nneɛma so ho?,Abstraction ne nea wotumi de di dwuma bio.,"Reusable components, Extensibility, Maintainability, ɛtew ɔhaw akɛse so kɔ ɔhaw nketewa a wotumi di ho dwuma kɛse mu.",4.0
Mfaso atitiriw bɛn na ɛwɔ nhyehyɛe a wɔde yɛ nneɛma a wɔde di dwuma so?,Abstraction ne nea wotumi de di dwuma bio.,Encapsulation-nneɛma ka data ne dwumadie bom Inheritance- classes tumi nya agyapadeɛ firi class foforɔ mu Polymorphism- Objects tumi kyerɛ dwumadie a ɛfata wɔ execution berɛ mu,2.5
Mfaso atitiriw bɛn na ɛwɔ nhyehyɛe a wɔde yɛ nneɛma a wɔde di dwuma so?,Abstraction ne nea wotumi de di dwuma bio.,#DIN?,3.0
